year,G,PG,PG-13,R,R+,Rx
1917,16,0,0,0,0,0
1918,7,0,0,0,0,0
1924,3,0,0,0,0,0
1925,6,0,0,0,0,0
1926,6,0,0,0,0,0
1927,4,0,0,0,0,0
1928,7,0,0,0,0,0
1929,7,0,0,0,0,0
1930,6,0,0,0,0,0
1931,22,0,0,0,0,0
1932,12,0,0,0,0,1
1933,16,0,0,0,0,0
1934,11,0,0,0,0,0
1935,15,0,0,0,0,0
1936,9,1,0,0,0,0
1937,2,0,0,0,0,0
1938,3,0,0,0,0,0
1939,4,0,0,0,0,0
1940,3,1,0,0,0,0
1941,4,0,0,0,0,0
1942,5,0,0,0,0,0
1943,4,0,0,0,0,0
1944,1,0,0,0,0,0
1945,1,0,0,0,0,0
1946,3,0,0,0,0,0
1947,3,0,0,0,0,0
1948,5,0,0,0,0,0
1949,4,0,0,0,0,0
1950,3,0,0,0,0,0
1951,2,0,0,0,0,0
1952,3,0,0,0,0,0
1953,2,0,0,0,0,0
1954,4,1,0,0,0,0
1955,2,0,0,0,0,0
1956,7,0,0,0,0,0
1957,3,0,0,0,0,0
1958,5,0,0,0,0,0
1959,7,1,0,0,0,0
1960,9,0,0,0,0,0
1961,15,0,0,0,0,0
1962,10,0,3,1,0,0
1963,13,3,3,0,0,0
1964,12,0,3,0,1,0
1965,18,4,1,0,1,0
1966,20,3,3,0,1,0
1967,15,7,4,1,1,0
1968,21,4,6,1,0,0
1969,17,4,7,2,1,2
1970,26,4,9,1,1,1
1971,20,4,4,1,7,1
1972,19,5,5,2,2,0
1973,9,4,11,0,1,1
1974,19,9,9,0,0,0
1975,26,4,8,0,4,0
1976,28,7,12,0,1,0
1977,24,5,15,1,1,0
1978,27,4,19,0,2,0
1979,38,13,20,0,1,0
1980,46,8,19,1,2,0
1981,45,8,29,2,2,0
1982,43,12,22,0,5,0
1983,40,14,24,2,7,0
1984,48,13,24,3,7,7
1985,39,12,41,3,7,15
1986,48,18,41,6,17,1
1987,53,13,56,9,15,5
1988,52,19,50,8,16,4
1989,63,24,44,15,21,7
1990,65,19,45,19,24,12
1991,54,18,56,14,23,7
1992,76,25,60,14,18,6
1993,74,13,66,9,13,2
1994,58,17,59,11,19,19
1995,51,21,60,8,16,15
1996,46,18,60,10,16,27
1997,55,20,59,11,19,22
1998,58,22,70,14,20,24
1999,60,24,75,18,20,29
2000,58,37,56,19,16,42
2001,109,33,87,12,17,80
2002,85,31,96,17,18,65
2003,86,34,102,17,28,69
2004,83,36,129,28,24,56
2005,116,41,144,24,24,42
2006,101,60,183,41,25,39
2007,113,44,164,37,25,42
2008,132,37,171,41,35,37
2009,152,43,199,38,39,43
2010,157,31,189,44,49,57
2011,202,42,224,51,43,62
2012,224,48,276,43,53,46
2013,205,55,288,54,33,59
2014,263,60,336,63,29,64
2015,220,52,301,71,37,56
2016,239,84,368,64,28,54
2017,301,51,347,69,29,54
2018,238,43,347,83,22,48
2019,22,9,92,24,3,16
2020,0,0,4,3,0,0
