"","date","count"
"1",2020-01-01,76156
"2",2020-01-02,85591
"3",2020-01-03,91942
"4",2020-01-04,87713
"5",2020-01-05,90878
"6",2020-01-06,93006
"7",2020-01-07,86052
"8",2020-01-08,90194
"9",2020-01-09,93272
"10",2020-01-10,92956
"11",2020-01-11,80282
"12",2020-01-12,78899
"13",2020-01-13,87568
"14",2020-01-14,86527
"15",2020-01-15,91515
"16",2020-01-16,91774
"17",2020-01-17,96665
"18",2020-01-18,69911
"19",2020-01-19,78559
"20",2020-01-20,92749
"21",2020-01-21,87999
"22",2020-01-22,90712
"23",2020-01-23,95558
"24",2020-01-24,97350
"25",2020-01-25,78650
"26",2020-01-26,84808
"27",2020-01-27,90887
"28",2020-01-28,90177
"29",2020-01-29,91838
"30",2020-01-30,89282
"31",2020-01-31,95321
"32",2020-02-01,84432
"33",2020-02-02,85284
"34",2020-02-03,91995
"35",2020-02-04,88630
"36",2020-02-05,89467
"37",2020-02-06,90151
"38",2020-02-07,94202
"39",2020-02-08,88718
"40",2020-02-09,80312
"41",2020-02-10,85991
"42",2020-02-11,86257
"43",2020-02-12,92343
"44",2020-02-13,92733
"45",2020-02-14,97875
"46",2020-02-15,90138
"47",2020-02-16,86855
"48",2020-02-17,93392
"49",2020-02-18,91159
"50",2020-02-19,96121
"51",2020-02-20,97332
"52",2020-02-21,102861
"53",2020-02-22,91732
"54",2020-02-23,89773
"55",2020-02-24,92684
"56",2020-02-25,89629
"57",2020-02-26,90616
"58",2020-02-27,97360
"59",2020-02-28,100757
"60",2020-02-29,90036
"61",2020-03-01,88206
"62",2020-03-02,90536
"63",2020-03-03,90818
"64",2020-03-04,94069
"65",2020-03-05,98689
"66",2020-03-06,98101
"67",2020-03-07,87944
"68",2020-03-08,92018
"69",2020-03-09,92125
"70",2020-03-10,88622
"71",2020-03-11,90637
"72",2020-03-12,91593
"73",2020-03-13,88540
"74",2020-03-14,80052
"75",2020-03-15,79769
"76",2020-03-16,79563
"77",2020-03-17,75236
"78",2020-03-18,71534
"79",2020-03-19,65385
"80",2020-03-20,63892
"81",2020-03-21,57488
"82",2020-03-22,50367
"83",2020-03-23,43044
"84",2020-03-24,44497
"85",2020-03-25,41084
"86",2020-03-26,41659
"87",2020-03-27,38871
"88",2020-03-28,32202
"89",2020-03-29,30114
"90",2020-03-30,31822
"91",2020-03-31,33680
"92",2020-04-01,34807
"93",2020-04-02,31842
"94",2020-04-03,31167
"95",2020-04-04,26696
"96",2020-04-05,25132
"97",2020-04-06,27329
"98",2020-04-07,29521
"99",2020-04-08,29803
"100",2020-04-09,27856
"101",2020-04-10,28050
"102",2020-04-11,26006
"103",2020-04-12,19731
"104",2020-04-13,22188
"105",2020-04-14,29796
"106",2020-04-15,30697
"107",2020-04-16,29867
"108",2020-04-17,28226
"109",2020-04-18,23315
"110",2020-04-19,23451
"111",2020-04-20,25638
"112",2020-04-21,29180
"113",2020-04-22,30411
"114",2020-04-23,29898
"115",2020-04-24,29012
"116",2020-04-25,28062
"117",2020-04-26,25473
"118",2020-04-27,28029
"119",2020-04-28,31535
"120",2020-04-29,29576
"121",2020-04-30,30611
"122",2020-05-01,33561
"123",2020-05-02,30439
"124",2020-05-03,28477
"125",2020-05-04,30276
"126",2020-05-05,33500
"127",2020-05-06,34552
"128",2020-05-07,38032
"129",2020-05-08,34716
"130",2020-05-09,31120
"131",2020-05-10,25951
"132",2020-05-11,30543
"133",2020-05-12,33465
"134",2020-05-13,36927
"135",2020-05-14,36902
"136",2020-05-15,37409
"137",2020-05-16,34731
"138",2020-05-17,31442
"139",2020-05-18,31852
"140",2020-05-19,35437
"141",2020-05-20,40428
"142",2020-05-21,42839
"143",2020-05-22,40937
"144",2020-05-23,33764
"145",2020-05-24,30460
"146",2020-05-25,32393
"147",2020-05-26,37054
"148",2020-05-27,41356
"149",2020-05-28,39966
"150",2020-05-29,42107
"151",2020-05-30,39048
"152",2020-05-31,38583
"153",2020-06-01,42312
"154",2020-06-02,44264
"155",2020-06-03,45045
"156",2020-06-04,46239
"157",2020-06-05,45049
"158",2020-06-06,38145
"159",2020-06-07,39271
"160",2020-06-08,43024
"161",2020-06-09,44373
"162",2020-06-10,46116
"163",2020-06-11,50325
"164",2020-06-12,54127
"165",2020-06-13,45907
"166",2020-06-14,44425
"167",2020-06-15,48297
"168",2020-06-16,47563
"169",2020-06-17,51599
"170",2020-06-18,53265
"171",2020-06-19,54059
"172",2020-06-20,46828
"173",2020-06-21,45135
"174",2020-06-22,50014
"175",2020-06-23,51527
"176",2020-06-24,56234
"177",2020-06-25,58049
"178",2020-06-26,58288
"179",2020-06-27,48322
"180",2020-06-28,45308
"181",2020-06-29,48691
"182",2020-06-30,52423
"183",2020-07-01,56918
"184",2020-07-02,61657
"185",2020-07-03,61836
"186",2020-07-04,47860
"187",2020-07-05,52637
"188",2020-07-06,55981
"189",2020-07-07,57167
"190",2020-07-08,59865
"191",2020-07-09,63149
"192",2020-07-10,63432
"193",2020-07-11,59284
"194",2020-07-12,59815
"195",2020-07-13,61150
"196",2020-07-14,62444
"197",2020-07-15,63929
"198",2020-07-16,65998
"199",2020-07-17,69003
"200",2020-07-18,64204
"201",2020-07-19,59357
"202",2020-07-20,62892
"203",2020-07-21,62646
"204",2020-07-22,62378
"205",2020-07-23,63407
"206",2020-07-24,68986
"207",2020-07-25,64731
"208",2020-07-26,61465
"209",2020-07-27,60331
"210",2020-07-28,61891
"211",2020-07-29,65439
"212",2020-07-30,56305
"213",2020-07-31,69371
